Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SG5818M,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-05-23,,,2032-08-03 06:42:28.800000,2629.0,0,2629.0,1,1,607364.0,,,,8.56,7.89,Scheduled - Future,245,2383,661264.0,5.0,5.0
SG5819K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2596.0,0,2596.0,1,1,,,,,8.44,0.0,Overdue - Action Required,3081,3,677820.0,2.0,6.0
SG5826P,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-03-21,,,2032-01-17 08:44:52.800000,2493.0,0,2493.0,1,1,410882.0,,,,8.42,7.58,Scheduled - Future,308,2184,478642.0,1.0,4.0
SG5827L,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,3040.0,0,3040.0,1,1,,,,,8.42,0.0,Overdue - Action Required,3074,30,676280.0,0.0,12.0
SG5828J,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,3029.0,0,3029.0,1,1,,,,,8.42,0.0,Overdue - Action Required,3074,30,676280.0,0.0,5.0
SG5829G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2503.0,0,2503.0,1,1,,,,,8.42,0.0,Overdue - Action Required,3074,3,676280.0,3.0,4.0
SG5888K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,885.0,0,885.0,1,1,,,,,8.1,0.0,Overdue - Action Required,2958,30,650760.0,0.0,0.0
SG5863G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-02-18,,,2030-07-02 16:53:02.400000,1961.0,0,1961.0,1,1,460136.0,,,,8.07,7.15,Scheduled - Future,339,1620,534716.0,1.0,2.0
SG5944G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2301.0,0,2301.0,1,1,,,,,7.44,0.0,Overdue - Action Required,2719,3,598180.0,3.0,2.0
SG5945D,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2708.0,0,2708.0,1,1,,,,,7.44,0.0,Overdue - Action Required,2719,30,598180.0,0.0,3.0
SG5950M,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2669.0,0,2669.0,1,1,,,,,7.37,0.0,Overdue - Action Required,2692,30,592240.0,0.0,2.0
SG5951K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2666.0,0,2666.0,1,1,,,,,7.35,0.0,Overdue - Action Required,2684,30,590480.0,0.0,2.0
SG5966T,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-27 11:16:48.000000,2658.0,0,2658.0,1,1,,,,,7.27,0.0,Overdue - Action Required,2654,3,583880.0,0.0,2.0
SG5967R,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-27 11:16:48.000000,2658.0,0,2658.0,1,1,,,,,7.27,0.0,Overdue - Action Required,2654,3,583880.0,0.0,2.0
SG5968M,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2251.0,0,2251.0,1,1,,,,,7.27,0.0,Overdue - Action Required,2654,3,583880.0,1.0,5.0
SG5969K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1804.0,0,1804.0,1,1,,,,,7.27,0.0,Overdue - Action Required,2654,3,583880.0,1.0,1.0
SG5970E,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2122.0,0,2122.0,1,1,,,,,7.27,0.0,Overdue - Action Required,2654,30,583880.0,0.0,1.0
SG5983T,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2236.0,0,2236.0,1,1,,,,,7.22,0.0,Overdue - Action Required,2636,3,579920.0,1.0,2.0
SG5985M,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2110.0,0,2110.0,1,1,,,,,7.22,0.0,Overdue - Action Required,2636,30,579920.0,0.0,0.0
SG5976P,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2229.0,0,2229.0,1,1,,,,,7.2,0.0,Overdue - Action Required,2628,3,578160.0,1.0,5.0
SG5978J,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2621.0,0,2621.0,1,1,,,,,7.18,0.0,Overdue - Action Required,2622,30,576840.0,0.0,7.0
SG6017B,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2230.0,0,2230.0,1,1,,,,,7.14,0.0,Overdue - Action Required,2608,3,573760.0,2.0,7.0
SG6026A,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2219.0,0,2219.0,1,1,,,,,7.1,0.0,Overdue - Action Required,2593,3,570460.0,4.0,7.0
SG6030L,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-08-28,,,2031-09-25 00:26:38.400000,2219.0,0,2219.0,1,1,510304.0,,,,7.1,6.69,Scheduled - Future,148,2070,542864.0,2.0,3.0
SG6032G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1787.0,0,1787.0,1,1,,,,,7.1,0.0,Overdue - Action Required,2592,3,570240.0,2.0,1.0
SG6033D,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2221.0,0,2221.0,1,1,,,,,7.1,0.0,Overdue - Action Required,2592,3,570240.0,3.0,6.0
SG6034B,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2024-10-07,,,2030-11-06 21:48:14.400000,2222.0,0,2222.0,1,1,423618.0,,,,7.1,5.8,Scheduled - Future,473,1748,527678.0,3.0,4.0
SG6035Z,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-12-04,,,2032-01-02 14:47:45.600000,2221.0,0,2221.0,1,1,454524.0,,,,7.1,6.96,Scheduled - Future,50,2169,465524.0,4.0,2.0
SG6036X,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1785.0,0,1785.0,1,1,,,,,7.1,0.0,Overdue - Action Required,2592,3,570240.0,1.0,1.0
SG6038R,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-12-12,,,2032-12-18 15:36:00.000000,2564.0,0,2564.0,1,1,0.0,,,,7.05,6.94,Scheduled - Future,42,2520,9240.0,0.0,6.0
SG6072R,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2167.0,0,2167.0,1,1,,,,,7.03,0.0,Overdue - Action Required,2566,3,564520.0,3.0,3.0
SG6039M,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2024-07-10,,,2030-06-15 03:21:36.000000,2166.0,0,2166.0,1,1,371656.0,,,,7.02,5.48,Scheduled - Future,562,1603,495296.0,1.0,3.0
SG6040H,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2166.0,0,2166.0,1,1,,,,,7.02,0.0,Overdue - Action Required,2563,3,563860.0,1.0,3.0
SG6114D,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2027.0,0,2027.0,1,1,,,,,6.81,0.0,Overdue - Action Required,2488,30,547360.0,0.0,1.0
SG6115B,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-03-20,,,2030-12-17 23:45:36.000000,2099.0,0,2099.0,1,1,318963.0,,,,6.81,5.97,Scheduled - Future,309,1789,386943.0,3.0,4.0
SG6123C,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2477.0,0,2477.0,1,1,,,,,6.8,0.0,Overdue - Action Required,2485,30,546700.0,0.0,4.0
SG6124A,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2101.0,0,2101.0,1,1,,,,,6.8,0.0,Overdue - Action Required,2485,3,546700.0,3.0,6.0
SG6125Y,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1723.0,0,1723.0,1,1,,,,,6.8,0.0,Overdue - Action Required,2485,3,546700.0,1.0,1.0
