Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SMB1416M,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,17/12/2022,00:00.0,17/12/2022,8/10/2030,1798,0,1528.270278,2,4,682521,826147926,67360490,33595568,11.34246575,6.487671233,Scheduled - Future,873,654,843003,44,5
SMB1416M,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,19/12/2022,00:00.0,19/12/2022,1/10/2030,1777,0,1673.968857,2,4,682521,826147926,67360490,33595568,11.34246575,6.521917808,Scheduled - Future,871,802,843003,44,5
SMB1417K,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,21/10/2022,00:00.0,21/10/2022,13/5/2026,872.5,1,1300,3,9,661641,841401715,66870070,46845802,11.34246575,6.894063927,Scheduled - Future,1266,257,854632,56,4
SMB1417K,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,21/10/2022,00:00.0,21/10/2022,16/7/2030,1718,0,1664.866835,2,4,686375,841401715,66870070,46845802,11.34246575,6.44109589,Scheduled - Future,930,734,854632,56,4
SMB1418H,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,29/7/2022,00:00.0,29/7/2022,9/4/2030,1662,0,1507.676109,2,4,728714,932517921,77598260,30060936,11.34246575,6.287671233,Scheduled - Future,1014,492.5,942949,46,9
SMB1418H,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,29/7/2022,00:00.0,29/7/2022,2/4/2030,1634,0,1654.156858,2,4,728714,932517921,77598260,30060936,11.34246575,6.326027397,Scheduled - Future,1014,639,942949,46,9
SMB1419E,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,13/10/2022,00:00.0,13/10/2022,15/7/2030,1732,0,1518.237834,2,4,607684,780075531,69061360,34083423,11.34246575,6.4,Scheduled - Future,938,579,793408,58,6
SMB1419E,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,13/10/2022,00:00.0,13/10/2022,3/7/2030,1710,0,1662.347759,2,4,607684,780075531,69061360,34083423,11.34246575,6.430136986,Scheduled - Future,938,723.5,793408,58,6
SMB1420A,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,15/12/2022,00:00.0,15/12/2022,18/9/2030,1799,0,1519.37119,2,4,636768,788892688,67530380,35186626,11.34246575,6.480821918,Scheduled - Future,875,643.5,801410,72,9
SMB1420A,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,15/12/2022,00:00.0,15/12/2022,18/9/2030,1799,0,1669.37119,2,4,636768,788892688,67530380,35186626,11.34246575,6.480821918,Scheduled - Future,875,793.5,801410,72,9
